# R_68    M_68      R_90    M_90    R_99     M_99
6.00000 1.32166  6.00000 1.37567   6.00000 1.44703 
6.14994 1.33131  6.18523 1.39110   6.15877 1.46439 
6.35281 1.34095  6.43219 1.40653   6.42337 1.48754 
6.59978 1.34866  6.62624 1.41810   6.65270 1.50490 
6.81147 1.35445  6.82911 1.42774   6.86439 1.52226 
6.95259 1.35638  6.97905 1.43546   7.10254 1.53961 
7.27894 1.35831  7.15546 1.43932   7.33186 1.55312 
7.39361 1.34674  7.35832 1.44318   7.58765 1.56469 
7.53473 1.33516  7.56119 1.44510   7.79934 1.57047 
7.65821 1.31780  7.70232 1.43932   8.01103 1.57240 
7.78170 1.29080  7.83462 1.42582   8.24035 1.56855 
7.88754 1.26573  7.97574 1.40653   8.31974 1.55890 
8.01985 1.22715  8.09041 1.38917   8.44322 1.54347 
8.18743 1.17315  8.22271 1.35638   8.61080 1.51647 
8.31091 1.12685  8.35502 1.32359   8.76957 1.48561 
8.45204 1.06706  8.50496 1.28501   8.96362 1.44318 
8.58434 1.00341  8.66373 1.23101   9.13120 1.40074 
8.67255 0.945549 8.81367 1.18279   9.30761 1.35638 
8.73429 0.887685 8.93716 1.13071   9.46637 1.30623 
8.81367 0.835608 9.05182 1.07478   9.58986 1.25994 
8.85777 0.777745 9.14884 1.02077   9.71334 1.20208 
8.88423 0.729525 9.21940 0.968694  9.85447 1.14228 
8.89305 0.598368 9.30761 0.905044  9.95149 1.08635 
8.87541 0.555935 9.36935 0.835608  10.0750 1.00727 
8.84895 0.523145 9.40463 0.764243  10.1455 0.939763 
8.80485 0.501929 9.43109 0.706380  10.1985 0.878042 
6.94377 0.500000 9.43109 0.638872  10.2337 0.800890 
6.92613 0.573294 9.40463 0.590653  10.2426 0.721810 
6.89085 0.636944 9.35171 0.544362  10.2249 0.662018 
6.86439 0.679377 9.29879 0.500000  10.1720 0.602226 
6.81147 0.721810 6.59978 0.500000  10.1279 0.555935 
6.75854 0.766172 6.59978 0.550148  10.0750 0.519288 
6.67034 0.804748 6.55568 0.604154  10.0397 0.500000
6.59096 0.849110 6.50276 0.663947  6.15877 0.500000
6.51158 0.887685 6.44101 0.719881  6.15877 0.527003 
6.41455 0.928190 6.37045 0.764243  6.12348 0.573294 
6.30871 0.957122 6.28225 0.810534  6.06174 0.635015 
6.23815 0.970623 6.21169 0.845252  6.00000 0.679377 
6.13230 0.986053 6.10584 0.879970  6.00000 1.44703 
6.00000 1.00148  6.00000 0.910831    NaN     NaN
6.00000 1.32166  6.00000 1.37567     NaN     NaN
