# Radius Mass
7.5111 1.3862
8.0519 1.3346
8.4444 1.2815
8.7852 1.1753
9.0222 1.0736
9.2370 0.9492
9.4074 0.7883
9.4741 0.6608
9.4815 0.5061
9.8519 0.5061
9.8889 0.6426
9.8593 0.7549
9.7037 0.9264
9.4815 1.0797
9.2222 1.2102
8.9185 1.3225
8.3704 1.4196
8.0148 1.4499
7.5111 1.4712
7.5111 1.6533
7.7333 1.7049
8.1630 1.7200
8.5926 1.7200
9.0222 1.7003
9.3926 1.6624
9.8222 1.5926
10.2222 1.5121
10.5556 1.4226
10.8148 1.3346
11.0667 1.2223
11.2519 1.1070
11.3926 0.9795
11.4370 0.8672
11.4519 0.7580
11.4074 0.6487
11.2593 0.5030
12.0889 0.5030
12.2593 0.6077
12.3481 0.7094
12.4074 0.8217
12.4000 0.9522
12.3259 1.0736
12.1926 1.1980
11.9259 1.3558
11.7111 1.4469
11.3926 1.5561
11.0519 1.6442
10.5185 1.7489
10.1185 1.8050
9.7259 1.8445
9.2889 1.8627
8.8593 1.8642
8.4370 1.8520
